FATAL  | wrapperm | 2024/12/31 11:38:24 | Failed to obtain elevated status. (0): The operation was canceled by the user. (0x4c7)
STATUS | wrapper  | 2024/12/31 11:40:55 | --> Wrapper Started as Console
STATUS | wrapper  | 2024/12/31 11:40:55 | Java Service Wrapper Professional Edition 64-bit 3.5.53
STATUS | wrapper  | 2024/12/31 11:40:55 |   Copyright (C) 1999-2023 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2024/12/31 11:40:55 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2024/12/31 11:40:55 |   Licensed to Oracle America, Inc. for EFTLink
STATUS | wrapper  | 2024/12/31 11:40:55 | 
INFO   | wrapper  | 2024/12/31 11:40:55 | Event: wrapper_start
INFO   | wrapper  | 2024/12/31 11:40:55 | Event: jvm_prelaunch
STATUS | wrapper  | 2024/12/31 11:40:56 | Launching a JVM...
INFO   | wrapper  | 2024/12/31 11:40:56 | Event: jvm_start
INFO   | jvm 1    | 2024/12/31 11:40:56 | WrapperManager: Initializing...
INFO   | wrapper  | 2024/12/31 11:40:58 | Event: jvm_started
STATUS | wrapper  | 2024/12/31 11:50:50 | CTRL-C trapped.  Shutting down.
INFO   | wrapper  | 2024/12/31 11:50:50 | Event: jvm_stop
STATUS | wrapper  | 2024/12/31 11:51:12 | --> Wrapper Started as Console
STATUS | wrapper  | 2024/12/31 11:51:12 | Java Service Wrapper Professional Edition 64-bit 3.5.53
STATUS | wrapper  | 2024/12/31 11:51:12 |   Copyright (C) 1999-2023 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2024/12/31 11:51:12 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2024/12/31 11:51:12 |   Licensed to Oracle America, Inc. for EFTLink
STATUS | wrapper  | 2024/12/31 11:51:12 | 
INFO   | wrapper  | 2024/12/31 11:51:12 | Event: wrapper_start
INFO   | wrapper  | 2024/12/31 11:51:13 | Event: jvm_prelaunch
STATUS | wrapper  | 2024/12/31 11:51:13 | Launching a JVM...
INFO   | wrapper  | 2024/12/31 11:51:13 | Event: jvm_start
INFO   | jvm 1    | 2024/12/31 11:51:13 | WrapperManager: Initializing...
INFO   | wrapper  | 2024/12/31 11:51:15 | Event: jvm_started
STATUS | wrapper  | 2024/12/31 10:38:20 | --> Wrapper Started as Console
STATUS | wrapper  | 2024/12/31 10:38:22 | Java Service Wrapper Professional Edition 64-bit 3.5.53
